Timestamp,Telescope RA,Telescope DEC,Ephemeris RA,Ephemeris DEC,RA Difference,DEC Difference
1646221702980.0,101.7346617,5.866730378,101.73322250424651,5.864937674056947,-5.181104712568185,-6.453734194988314
1646221712360.0,101.7712878,5.866769233,101.77240713613662,5.865017725411119,4.029610091851055,-6.305427319973944
1646221721069.0,101.8073578,5.866888753,101.80878868667632,5.865092073837386,5.15119203474228,-6.468044985409804
1646221729760.0,101.8444969,5.867128209,101.84509504129146,5.865166291183608,2.153308649263863,-7.062904139009163
1646221738489.0,101.8797324,5.867069349,101.88156013806318,5.865240855713245,6.579857027463731,-6.582575832318582
1646221747180.0,101.9156854,5.86712288,101.91786648960965,5.865315118192033,7.85192259473888,-6.507942508682163
1646221755630.0002,101.9515408,5.86719455,101.95316607054048,5.8653873429307986,5.850973945700844,-6.5059454491244395
1646221764089.9998,101.986926,5.867256659,101.98850742467997,5.865459674396084,5.693128847889284,-6.469144574095509
1646221790620.0,102.0975638,5.867511869,102.09933556255689,5.865686638686329,6.378345204785774,-6.5708291292171594
1646221799279.0,102.1340581,5.867526419,102.13550822614735,5.865760761543197,5.22045413044907,-6.3563668444892585
1646221807869.0,102.1695568,5.867473683,102.17139264322148,5.865834315610817,6.6090355973472015,-5.901722601058879
1646221816499.0,102.2064838,5.867704914,102.2074441573824,5.865908234089509,3.4572865766278937,-6.468047677768141
1646221825220.0,102.2422547,5.867919188,102.24387581926464,5.865982954280193,5.836029352707328,-6.970441391304405
1646221833870.0002,102.2803452,5.867887381,102.28001087972874,5.866057088238461,-1.2035529765512365,-6.5890539415420335
1646221843009.9998,102.315911,5.867900753,102.31819289576912,5.866135445558602,8.214824768816698,-6.355106789030884
1646221851440.0,102.3518151,5.867939988,102.35340891128982,5.866207737751019,5.737720643361399,-6.236100896332175
1646221860099.0,102.3875825,5.868059751,102.38958156445109,5.8662820154125965,7.196632023953953,-6.399848114651263
1646221868609.0,102.4229001,5.868079713,102.42513177417175,5.8663550362974375,8.034027018260304,-6.208836129225759
1646221877229.0,102.4591794,5.868272037,102.46114150337115,5.866429022604222,7.063572136161156,-6.634851824800592
1646221885809.9998,102.4945725,5.868419519,102.49698831008145,5.866502695688938,8.69691629320073,-6.900563919821678
1646221894219.0,102.5302587,5.868312017,102.53211659182863,5.866574912850196,6.68841058303542,-6.253574939293571
1646221902789.0,102.5660764,5.868369066,102.56791744361205,5.8666485338492755,6.627757003366241,-6.193915742606748
1646221911409.9998,102.6018159,5.868543573,102.60393134453732,5.866722614486049,7.615600334315786,-6.555450650224515
1646221920029.0,102.637398,5.868759411,102.63993688909717,5.866796699483404,9.140000749800947,-7.06576145974438
1646221928430.0002,102.6728468,5.868782654,102.67503174557042,5.8668689313578675,7.865804053511738,-6.8894015116782725
1646221936919.0,102.7082334,5.868785591,102.71049421729765,5.866941940592111,8.138942271551741,-6.637141468401708
1646221945310.0002,102.7449718,5.869000629,102.74554729642449,5.867014127438121,2.0717871281590305,-7.15140562276666
1646221954219.0,102.7812251,5.868889518,102.78276429911158,5.8670907928098766,5.5411168016746615,-6.475410684442906
1646221962870.0002,102.8167834,5.869010568,102.81890351532591,5.867165259871793,7.632415173270601,-6.643109261544566
1646221971329.9998,102.8526758,5.869059915,102.8542448350847,5.867238103642742,5.648526304918278,-6.558520886130026
1646221979950.0002,102.8886292,5.869157272,102.89025454719189,5.867312346220438,5.851249890804411,-6.641732806421885
