Timestamp,Telescope RA,Telescope DEC,Ephemeris RA,Ephemeris DEC,RA Difference,DEC Difference
1651488656679.0,149.871592,-39.89780419,149.87028227914152,-39.90094087951875,-4.714995090500906,-11.292082267490855
1651488639569.0,149.7630764,-39.87280376,149.76119721620168,-39.8758179473955,-6.765061673911532,-10.851074623801082
1651488370649.0,148.0608407,-39.46411348,148.05873611015255,-39.466989976849256,-7.576523450813966,-10.355388657313824
1651488353429.0,147.9529295,-39.43714582,147.95050304156362,-39.43992659144267,-8.735250371000802,-10.010777193622289
1651488084689.0,146.2759918,-39.00117909,146.27386872505022,-39.00406852652065,-7.643069819255288,-10.401971474328775
1651488691980.0,150.0975362,-39.949378,150.09562949985522,-39.95243399912107,-6.864120521231598,-11.001596835839678
1651488934649.9998,151.6557719,-40.29050266,151.65497016888298,-40.29388521321701,-2.886232021228352,-12.177191581230318
1651488943129.9998,151.7107266,-40.30204883,151.7097785997556,-40.30541750686082,-3.412800879812039,-12.127236698964339
1651488387829.0,148.168835,-39.49092159,148.16681261063215,-39.49388543040207,-7.280601724266944,-10.66982544744235
1651488961209.0,151.8273158,-40.32651941,151.82669838579943,-40.329912940841204,-2.2226911220741385,-12.216711028324312
1651488067510.0002,146.1698542,-38.9725991,146.16749775923958,-38.97535428189838,-8.483186737521464,-9.918654834191898
1651488917399.0,151.5460991,-40.26736154,151.54353788474924,-40.27034095155611,-9.220374902702133,-10.725881601976539
1651488951569.0,151.7732766,-40.31519307,151.7643430250668,-40.31686701434107,-32.160869759502475,-6.026199627856954
1651487428009.0,142.2812626,-37.8338528,142.27867828555065,-37.836350624190324,-9.30353201761136,-8.992167085156666
1651487419459.0,142.2301107,-37.81772601,142.22763639595536,-37.82022423812146,-8.907494560753548,-8.993621237257798
1651488926049.0,151.6013884,-40.27903878,151.59940131350612,-40.28216057974812,-7.153511377930499,-11.238479093239562
1651488405389.0,148.2793414,-39.51831698,148.2773773165052,-39.52126710561205,-7.07070058122099,-10.620452203363584
1651487756150.0002,144.259369,-38.43505696,144.25670806794315,-38.4376078794693,-9.579355404628132,-9.183310089480301
1651487410940.0,142.1786397,-37.80143658,142.17680485450526,-37.80413344813725,-6.605443781018039,-9.70872529409803
1651488613229.0,149.5997605,-39.83495286,149.59344325056645,-39.836932724680736,-22.742097960781393,-7.12751285064428
1651488041029.0,146.0052395,-38.92790568,146.0037214709245,-38.930893916718674,-5.464904671794102,-10.757652187217559
1651488908790.0002,151.4900479,-40.25543883,151.48796118680755,-40.25854929386797,-7.512167492836852,-11.197669924689535
1651488058029.0,146.1171945,-38.95834639,146.10883411190892,-38.95946370647192,-30.09739712792907,-4.022339298910538
1651488969790.0002,151.8851288,-40.3385242,151.88222662005782,-40.34149605805237,-10.447847791806453,-10.69868898852917
1651487445089.9998,142.3836779,-37.86613091,142.38072471988588,-37.86849858123313,-10.63144841087933,-8.523616439271109
1651487730549.0,144.1031963,-38.38928148,144.10105562635232,-38.391954330470206,-7.706425131675587,-9.622261692737766
1651488032500.0,145.9537137,-38.91383687,145.95102205274037,-38.91652307833409,-9.689930134697988,-9.670350002724604
1651487764680.0,144.31078,-38.45005314,144.3086195404579,-38.45277128370282,-7.777654351548335,-9.785317330158705
1651487773020.0,144.3627464,-38.46522839,144.35939867475065,-38.46757373918378,-12.051810897628457,-8.443257061597365
1651488336510.0002,147.84596,-39.41019691,147.84425474252876,-39.41323378583212,-6.1389268964262556,-10.932752995617534
1651488101719.0,146.3819706,-39.02970522,146.379413603383,-39.03243366353264,-9.205187821157779,-9.822396717527226
1651488900289.0,151.4344186,-40.24363696,151.43310321334056,-40.24687812384622,-4.73539197394075,-11.66818984638951
1651486672260.0,137.868611,-36.32288354,137.86610589539467,-36.325148033702924,-9.01837657914939,-8.15217733052691
1651488891520.0,151.3791413,-40.23183119,151.37653824037335,-40.2348104699419,-9.37101465589194,-10.725407790829422
1651486663719.0,137.8204291,-36.30508095,137.8173911777366,-36.30711423313414,-10.936520148300133,-7.319819282926687
1651486680889.0,137.9170538,-36.34075933,137.915348818272,-36.34334677578973,-6.137934220737407,-9.314804843049274
1651487453709.0,142.433684,-37.88180814,142.43225538944907,-37.88468534899843,-5.1429979833528705,-10.357952394363679
1651486637489.0,137.6706721,-36.24944587,137.66794674356797,-36.25160303656708,-9.811283155283945,-7.765799641489934
1651487739029.0,144.1541129,-38.40420797,144.1525887239545,-38.40710034085364,-5.487033763824911,-10.4125350730925
1651486256480.0,135.5337633,-35.4244138,135.52469555332894,-35.42393415052035,-32.64388801583209,1.7267381267430437
1651487462000.0,142.4842616,-37.89768917,142.48184937148832,-37.90023396195864,-8.684022642023592,-9.161251051108366
1651488422489.0,148.386333,-39.54466069,148.38514038436838,-39.54782569906057,-4.293416273844741,-11.394032618039773
1651488110319.0,146.434681,-39.04380476,146.43274929936257,-39.04671988386964,-6.954122294791887,-10.494445930709162
1651486646119.0,137.7228004,-36.26882675,137.71708889189333,-36.26988823133717,-20.561429184067492,-3.821332813802769
1651486247069.0,135.4797732,-35.40281898,135.47240841228043,-35.402996619540154,-26.513235790491763,-0.6395023445577408
1651486706669.0,138.0680834,-36.39639158,138.06262433449055,-36.397592133689216,-19.652635834040666,-4.321993281178038
1651487376230.0002,141.9738544,-37.73629994,141.9699568318332,-37.73833731865813,-14.031245400451553,-7.334563169268904
1651485738529.0,132.6974178,-34.23617823,132.6934876066388,-34.23790190496228,-14.148696100369307,-6.205229864201556
1651488118840.0,146.4902874,-39.0586837,146.48561915682316,-39.06084973419002,-16.80567543661482,-7.797723084067343
