Date-obs_corrected_midexp,RA,DEC
2022-03-02T11:47:48.730,101.46100136268278,5.614150313841822
2022-03-02T11:47:48.730,101.48546820887144,5.645160212107561
2022-03-02T11:47:48.730,101.76391741243266,5.795669077325078
2022-03-02T11:47:48.730,101.38185242648605,5.834533497745144
2022-03-02T11:47:48.730,101.27840714496078,5.840347476704898
2022-03-02T11:47:48.730,101.55615358002699,5.902895573600659
2022-03-02T11:47:48.730,101.8904073084913,5.937805230433236
2022-03-02T11:47:48.730,101.64118809677986,6.032176461882057
2022-03-02T11:47:48.730,101.73841548485355,6.105739573794176
2022-03-02T11:47:57.069,101.46948619912374,5.62593758902431
2022-03-02T11:47:57.069,101.91342056420243,5.748574240655808
2022-03-02T11:47:57.069,101.87619969871106,5.790230212332668
2022-03-02T11:47:57.069,101.77348182635204,5.820034746838165
2022-03-02T11:47:57.069,101.86136509843004,5.826966913245427
2022-03-02T11:47:57.069,101.6184883033611,5.875329093026404
2022-03-02T11:47:57.069,101.48163906229257,5.94578371532598
2022-03-02T11:47:57.069,101.42425792421949,5.997682906494381
2022-03-02T11:47:57.069,101.61862714304576,6.0318673228564705
2022-03-02T11:47:57.069,101.63249542197129,6.040277761830813
2022-03-02T11:47:57.069,101.63914772567794,6.047684583186457
2022-03-02T11:48:05.529,101.47356683994988,5.606924886674812
2022-03-02T11:48:05.529,101.58009254485401,5.614569090956197
2022-03-02T11:48:05.529,101.39174153797114,5.812760717702183
2022-03-02T11:48:05.529,101.86150610712318,5.82682942294931
2022-03-02T11:48:05.529,101.63234715601051,6.040198016029854
2022-03-02T11:48:05.529,101.4989802433456,6.055617814564864
2022-03-02T11:48:05.529,101.54658922868725,5.890117134086884
2022-03-02T11:48:05.529,101.54922543694585,5.8902740799849695
2022-03-02T11:48:14.179,101.47335876714475,5.6067937127683
2022-03-02T11:48:14.179,101.57940678118774,5.614665372145683
2022-03-02T11:48:14.179,101.96705627477442,5.626335540625879
2022-03-02T11:48:14.179,101.76175175235873,5.658482955392281
2022-03-02T11:48:14.179,101.78906511739945,5.682169571518511
2022-03-02T11:48:14.179,101.43473271329856,5.737057103473627
2022-03-02T11:48:14.179,101.91338963546895,5.748464784080205
2022-03-02T11:48:14.179,101.39097013486007,5.812779939834993
2022-03-02T11:48:14.179,101.86147021440155,5.8269267996261105
2022-03-02T11:48:14.179,101.74835929861165,5.8291897756794535
2022-03-02T11:48:14.179,101.87330444811286,5.977304034841699
2022-03-02T11:48:14.179,101.63231119154392,6.040162081849855
2022-03-02T11:48:14.179,101.63988142202454,6.047561932452843
2022-03-02T11:48:14.179,101.47814023895133,6.073343533668959
2022-03-02T11:48:22.980,101.4696736396647,5.625812490177118
2022-03-02T11:48:22.980,101.78956125053996,5.682090122298414
2022-03-02T11:48:22.980,101.77256043984104,5.820160065075709
2022-03-02T11:48:22.980,101.86134810431437,5.827064874811961
2022-03-02T11:48:22.980,101.73466169037215,5.866730377702875
2022-03-02T11:48:22.980,102.0635799391726,5.896431261318498
2022-03-02T11:48:22.980,101.63257399122188,6.040152819071347
2022-03-02T11:48:22.980,101.49895512112542,6.05562323968918
2022-03-02T11:48:22.980,101.74002749350244,6.1028400838179175
2022-03-02T11:48:32.360,101.78924059289197,5.68209789045751
2022-03-02T11:48:32.360,101.91318071047449,5.7484191162209735
2022-03-02T11:48:32.360,101.77328169301248,5.820001409362592
2022-03-02T11:48:32.360,101.7478272212535,5.829131986725227
2022-03-02T11:48:32.360,101.77128778543131,5.866769232652666
2022-03-02T11:48:32.360,101.5408695895927,5.989223349320717
2022-03-02T11:48:32.360,101.95990535655258,6.027328953145162
2022-03-02T11:48:32.360,101.63210990835633,6.040087759917058
2022-03-02T11:48:32.360,101.47836570933582,6.073625633776713
2022-03-02T11:48:32.360,102.0645015251869,6.115296510546204
2022-03-02T11:48:41.069,102.09839429127369,5.660660062636991
2022-03-02T11:48:41.069,101.81673837060399,5.694966433336677
2022-03-02T11:48:41.069,101.9129687292326,5.748486310383446
2022-03-02T11:48:41.069,101.80735781548427,5.866888753212029
2022-03-02T11:48:41.069,101.95204936997415,5.985968288236569
2022-03-02T11:48:41.069,101.960336261397,6.027458239455805
2022-03-02T11:48:41.069,101.63244920150153,6.040142090014206
2022-03-02T11:48:41.069,101.63978711123703,6.047556472404769
2022-03-02T11:48:41.069,101.80660318091354,6.065236199926449
2022-03-02T11:48:41.069,102.06474404431594,6.11555680598294
