Timestamp,Topo RA,Topo DEC,Geo RA,Geo DEC
1.65218E+12,142.5717106,6.018268643,144.9725478,0.100513098
1.65218E+12,143.8253925,6.02152365,146.2259936,0.103535313
1.65218E+12,145.0790661,6.024730566,147.4794288,0.106508284
1.65218E+12,146.3327314,6.027887849,148.7328533,0.109430589
1.65218E+12,147.586388,6.030993984,149.9862672,0.112300826
1.65218E+12,148.8400359,6.034047477,151.2396703,0.115117622
1.65218E+12,150.0936748,6.037046863,152.4930626,0.117879628
1.65218E+12,151.3473046,6.0399907,153.7464441,0.120585522
1.65218E+12,152.6009251,6.042877574,154.9998146,0.123234005
1.65218E+12,153.8545362,6.045706098,156.2531743,0.125823811
1.65218E+12,155.1081376,6.048474912,157.5065229,0.128353697
1.65218E+12,156.3617293,6.051182687,158.7598605,0.130822452
1.65218E+12,157.615311,6.053828121,160.0131871,0.133228892
1.65218E+12,158.8688826,6.056409945,161.2665026,0.135571864
1.65218E+12,160.1224439,6.058926917,162.5198069,0.137850244
1.65218E+12,161.3759947,6.061377828,163.7731002,0.14006294
1.65218E+12,162.6295351,6.0637615,165.0263823,0.142208889
1.65218E+12,163.8830646,6.066076788,166.2796532,0.144287064
1.65218E+12,165.1365834,6.06832258,167.532913,0.146296466
1.65218E+12,166.3900911,6.070497796,168.7861616,0.148236131
1.65218E+12,167.6435877,6.072601393,170.039399,0.150105129
1.65218E+12,168.8970731,6.074632358,171.2926253,0.151902561
1.65218E+12,170.150547,6.076589716,172.5458404,0.153627564
1.65218E+12,171.4040095,6.078472526,173.7990444,0.155279309
1.65218E+12,172.6574604,6.080279884,175.0522372,0.156857002
1.65218E+12,173.9108995,6.082010921,176.305419,0.158359885
1.65218E+12,175.1643269,6.083664806,177.5585897,0.159787234
1.65218E+12,176.4177423,6.085240744,178.8117494,0.161138362
1.65219E+12,177.6711458,6.086737977,180.0648982,0.16241262
1.65219E+12,178.9245371,6.088155787,181.318036,0.163609392
1.65219E+12,180.1779163,6.089493491,182.5711629,0.164728102
1.65219E+12,181.4312833,6.090750448,183.8242791,0.165768211
1.65219E+12,182.684638,6.091926052,185.0773845,0.166729215
1.65219E+12,183.9379804,6.093019739,186.3304793,0.167610651
1.65219E+12,185.1913104,6.094030982,187.5835634,0.168412091
1.65219E+12,186.444628,6.094959296,188.8366372,0.169133147
1.65219E+12,187.6979331,6.095804234,190.0897005,0.169773469
1.65219E+12,188.9512258,6.09656539,191.3427535,0.170332746
1.65219E+12,190.204506,6.097242397,192.5957964,0.170810705
1.65219E+12,191.4577737,6.09783493,193.8488292,0.171207112
1.65219E+12,192.7110289,6.098342703,195.1018521,0.171521772
1.65219E+12,193.9642716,6.098765471,196.3548652,0.171754528
1.65219E+12,195.2175019,6.099103029,197.6078686,0.171905263
1.65219E+12,196.4707197,6.099355214,198.8608624,0.171973899
1.65219E+12,197.7239252,6.099521904,200.1138469,0.171960399
1.65219E+12,198.9771183,6.099603019,201.3668222,0.171864761
