Timestamp,Telescope RA,Telescope DEC,Ephemeris RA,Ephemeris DEC,RA Difference,DEC Difference
1651488656679.0,149.871592,-39.89780419,149.87138557977332,-39.9016757072372,-0.7431128160305889,-13.9374620539229
1651488639569.0,149.7630764,-39.87280376,149.7622978673883,-39.87655592171855,-2.802717402084909,-13.507782186786699
1651488370649.0,148.0608407,-39.46411348,148.05979426224798,-39.467776620161224,-3.7671759072850364,-13.18730458040136
1651488353429.0,147.9529295,-39.43714582,147.95155842055266,-39.44071630026299,-4.935886010468948,-12.85372894677721
1651488084689.0,146.2759918,-39.00117909,146.27488010977225,-39.00490526732325,-4.002084819933316,-13.414238363705522
1651488691980.0,150.0975362,-39.949378,150.09673824486242,-39.95316231615183,-2.8726384953074557,-13.623538146586611
1651488934649.9998,151.6557719,-40.29050266,151.65611549836217,-40.29456810177648,1.2369541038424359,-14.635590395312192
1651488943129.9998,151.7107266,-40.30204883,151.7109251797571,-40.306098787015124,0.7148871256504208,-14.579845254456814
1651488387829.0,148.168835,-39.49092159,148.16787352350588,-39.49466900916092,-3.461315378854124,-13.490708979324495
1651488961209.0,151.8273158,-40.32651941,151.82784762528846,-40.330590787290625,1.914571038412305,-14.65695824623765
1651488067510.0002,146.1698542,-38.9725991,146.1685062889783,-38.97619397702596,-4.852479678106647,-12.941557293459027
1651488917399.0,151.5460991,-40.26736154,151.5446806642365,-40.27102710780799,-5.106368748590739,-13.196044108747174
1651488951569.0,151.7732766,-40.31519307,151.76549084759304,-40.31754669248224,-28.028708665056,-8.473040936061693
1651487428009.0,142.2812626,-37.8338528,142.27957767225146,-37.83729574779416,-6.065739894700073,-12.394612058960774
1651487419459.0,142.2301107,-37.81772601,142.22853429281432,-37.8211707106585,-5.675065868501861,-12.400922370594003
1651488926049.0,151.6013884,-40.27903878,151.60054537261948,-40.282845098236294,-3.034898569842426,-13.702745650655856
1651488405389.0,148.2793414,-39.51831698,148.27844104507872,-39.52204754568027,-3.2412777165745865,-13.43003644897749
1651487756150.0002,144.259369,-38.43505696,144.25766408872437,-38.43850001848805,-6.137680592246397,-12.39501055698895
