Timestamp,Telescope RA,Telescope DEC,Ephemeris RA,Ephemeris DEC,RA Difference,DEC Difference
1646821318419.0,119.3611907,-10.48703234,119.36442076129775,-10.49322264384304,11.628220671923373,-22.285093834943126
1646821326969.9998,119.3895812,-10.45935328,119.3933780124672,-10.464992670900658,13.66852488192194,-20.301807242368852
1646821344320.0,119.4491092,-10.40137566,119.4521013432256,-10.40771258692572,10.771715612202115,-22.812936932596273
1646821352880.0,119.4774152,-10.3737299,119.48105850698653,-10.379451544278098,13.115905151516927,-20.597919401149056
1646821361369.9998,119.5071808,-10.34466682,119.50976892664607,-10.351421188007205,9.317255925867585,-24.315724825935092
1646821370169.0,119.5358898,-10.31653694,119.53951384825795,-10.322370212855274,13.046573728610156,-20.99978227898447
1646821378729.9998,119.5651906,-10.2880001,119.56844403519514,-10.29410461533937,11.712366702533927,-21.976255221731833
1646821396609.9998,119.625776,-10.22868538,119.62883360797983,-10.235069496401366,11.007388727375655,-22.98281904491617
1646821405349.0,119.65471,-10.20034863,119.65833365383182,-10.20621499140779,13.045153794564612,-21.118901068044238
1646821413999.0,119.6865465,-10.169234,119.68752302862343,-10.177653979023553,3.5155030443320356,-30.31192448479345
1646821423249.0,119.715284,-10.14119446,119.71872585051372,-10.147111462290395,12.390661849406115,-21.301208245424164
1646821431880.0,119.7461601,-10.11090585,119.74783014470364,-10.118612462595426,6.012160933119048,-27.743805343532557
1646821441009.9998,119.7742668,-10.08338015,119.77860611812935,-10.088465437611648,15.621545265622672,-18.307035401931415
1646821449460.0,119.8031759,-10.0550799,119.80707986081335,-10.060563434394233,14.054258928047147,-19.740723819234773
1646821457860.0,119.83157,-10.02728428,119.8353755652155,-10.032826238999856,13.70003477580326,-19.95105239948316
1646821466439.0,119.8640241,-9.995398858,119.86426441972985,-10.004497685635092,0.8651510274773955,-32.755779486333836
1646821475999.0,119.8926656,-9.967372419,119.89644501654566,-9.972929456824728,13.605899564356605,-20.005336169020183
1646821484590.0002,119.9222723,-9.938206091,119.92535331712251,-9.944560689209425,11.091661641040673,-22.87655355393028
1646821493190.0002,119.9502057,-9.910909736,119.95428198623691,-9.916161940900855,14.674630452873316,-18.907937643074746
1646821501550.0002,119.9787572,-9.882874561,119.98239384854239,-9.888555474701693,13.091934752577572,-20.451289326097566
1646821510120.0,120.0074249,-9.854688704,120.01120216903135,-9.86025530925629,13.598168512845632,-20.03977892264217
1646821518560.0,120.035975,-9.826644558,120.03956390598171,-9.832384210383667,12.920061534174465,-20.662748581202095
1646821527079.0,120.0642914,-9.798871492,120.06818148422754,-9.804252018430061,14.004303219127223,-19.36989514821974
1646821544099.0,120.1213428,-9.74266154,120.12532726100197,-9.748046472749625,14.344059607117288,-19.385757898648137
1646821561080.0,120.1782338,-9.686618873,120.18230378822962,-9.691968986201548,14.65195762662006,-19.260407525571566
1646821569550.0002,120.2064756,-9.658871455,120.21070900356831,-9.66399769337063,15.240252845904934,-18.454458134269913
